model_id,model_name,model_family,developer,sizes,types,benchmark_count,total_results,avg_score,model_type,model_size,provider,type,base_model,year_evaluated,inference_platform,inference_engine,organization,release_date,architecture,context_window,license,url,parameters_billion,release_date_source
Yarn-Solar-10b-64k,NousResearch/Yarn-Solar-10b-64k,SOLAR,Nous Research,,,6.0,6.0,15.16,open,,,,SOLAR (10.7B),,,,,2023-09,,,,,,sourced_evidence
LlongOrca-13B-16k,Open-Orca/LlongOrca-13B-16k,LLaMA 2,Open-Orca,,,6.0,6.0,56.59,open,,,,Llama-2-13B,,,,,2023-06,,,,,,sourced_evidence
LlongOrca-7B-16k,Open-Orca/LlongOrca-7B-16k,LLaMA 2,Open-Orca,,,6.0,6.0,53.02,open,,,,Llama-2-7B,,,,,2023-06,,,,,,sourced_evidence
Mistral-7B-OpenOrca,Open-Orca/Mistral-7B-OpenOrca,,Open-Orca,,,12.0,12.0,38.95,open,,,,,,,,,2023-09,,,,,,corroborated_month
Mistral-7B-SlimOrca,Open-Orca/Mistral-7B-SlimOrca,,Open-Orca,,,6.0,6.0,60.37,open,,,,,,,,,2023-09,,,,,,corroborated_month
Mixtral-SlimOrca-8x7B,Open-Orca/Mixtral-SlimOrca-8x7B,,Open-Orca,,,6.0,6.0,66.97,open,,,,,,,,,2023-09,,,,,,sourced_evidence
OpenOrca-Platypus2-13B,Open-Orca/OpenOrca-Platypus2-13B,LLaMA 2,Open-Orca,,,6.0,6.0,57.28,open,,,,Llama-2-13B,,,,,2023-08,,,,,,sourced_evidence
OpenOrca-Preview1-13B,Open-Orca/OpenOrca-Preview1-13B,LLaMA,Open-Orca,,,6.0,6.0,51.38,open,,,,LLaMA 13B,,,,,2023-06,,,,,,sourced_evidence
OpenOrcaxOpenChat-Preview2-13B,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,LLaMA 2,Open-Orca,,,6.0,6.0,57.09,open,,,,Llama-2-13B,,,,,2023-07,,,,,,hf_createdat
oasst-sft-1-pythia-12b,OpenAssistant/oasst-sft-1-pythia-12b,,OpenAssistant,,,6.0,6.0,3.68,open,,,,,,,,,2023-02,,,,,,corroborated_month
Phind-CodeLlama-34B-Python-v1,Phind/Phind-CodeLlama-34B-Python-v1,,Phind,,,6.0,6.0,36.33,open,,,,,,,,,2023-08,,,,,,corroborated_month
Phind-CodeLlama-34B-v1,Phind/Phind-CodeLlama-34B-v1,,Phind,,,7.0,7.0,41.34,open,,,,,,,,,2023-08,,,,,,corroborated_month
Phind-CodeLlama-34B-v2,Phind/Phind-CodeLlama-34B-v2,,Phind,,,6.0,6.0,36.89,open,,,,,,,,,2023-08,,,,,,corroborated_month
INTELLECT-1,PrimeIntellect/INTELLECT-1,,PrimeIntellect,,,6.0,6.0,3.81,open,,,,,,,,,2023-11,,,,,,sourced_evidence
INTELLECT-1-Instruct,PrimeIntellect/INTELLECT-1-Instruct,INTELLECT,PrimeIntellect,,,6.0,6.0,1.41,open,,,,INTELLECT-1,,,,,2023-11,,,,,,sourced_evidence
pygmalion-6b,PygmalionAI/pygmalion-6b,,PygmalionAI,,,6.0,6.0,5.43,open,,,,,,,,,2023-03,,,,,,sourced_evidence
CodeQwen1.5-7B-Chat,Qwen/CodeQwen1.5-7B-Chat,,Alibaba Cloud,,,6.0,6.0,43.26,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen-14B,Qwen/Qwen-14B,,Alibaba Cloud,,,6.0,6.0,65.86,open,,,,,,,,,2023-09,,,,,,hf_createdat
Qwen-72B,Qwen/Qwen-72B,,Alibaba Cloud,,,8.0,8.0,71.67,open,,,,,,,,,2023-11,,,,,,hf_createdat
Qwen-7B,Qwen/Qwen-7B,,Alibaba Cloud,,,7.0,7.0,55.42,open,,,,,,,,,2023-08,,,,,,hf_createdat
Qwen1.5-0.5B,Qwen/Qwen1.5-0.5B,,Alibaba Cloud,,,12.0,12.0,21.98,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-0.5B-Chat,Qwen/Qwen1.5-0.5B-Chat,,Alibaba Cloud,,,12.0,12.0,20.64,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-1.8B,Qwen/Qwen1.5-1.8B,,Alibaba Cloud,,,12.0,12.0,27.91,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-1.8B-Chat,Qwen/Qwen1.5-1.8B-Chat,,Alibaba Cloud,,,12.0,12.0,26.62,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-110B,Qwen/Qwen1.5-110B,,Alibaba Cloud,,,12.0,12.0,52.62,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-14B,Qwen/Qwen1.5-14B,,Alibaba Cloud,,,21.0,21.0,50.30,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-14B-Chat,Qwen/Qwen1.5-14B-Chat,,Alibaba Cloud,,,13.0,13.0,126.08,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-32B,Qwen/Qwen1.5-32B,,Alibaba Cloud,,,21.0,21.0,54.78,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-4B,Qwen/Qwen1.5-4B,,Alibaba Cloud,,,12.0,12.0,34.41,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-4B-Chat,Qwen/Qwen1.5-4B-Chat,,Alibaba Cloud,,,13.0,13.0,104.58,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-72B,Qwen/Qwen1.5-72B,,Alibaba Cloud,,,16.0,16.0,67.52,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-7B,Qwen/Qwen1.5-7B,,Alibaba Cloud,,,21.0,21.0,44.08,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-7B-Chat,Qwen/Qwen1.5-7B-Chat,,Alibaba Cloud,,,14.0,14.0,111.54,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-MoE-A2.7B,Qwen/Qwen1.5-MoE-A2.7B,,Alibaba Cloud,,,12.0,12.0,34.99,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen1.5-MoE-A2.7B-Chat,Qwen/Qwen1.5-MoE-A2.7B-Chat,,Alibaba Cloud,,,12.0,12.0,36.55,open,,,,,,,,,2023,,,,,,corroborated_year
Qwen2-0.5B,Qwen/Qwen2-0.5B,,Alibaba Cloud,,,12.0,12.0,25.04,open,,,,,,,,,2024-06,,,,,,web_verified
Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B-Instruct,,Alibaba Cloud,,,6.0,6.0,6.59,open,,,,,,,,,2024-06,,,,,,hf_createdat
Qwen2-1.5B,Qwen/Qwen2-1.5B,,Alibaba Cloud,,,12.0,12.0,33.12,open,,,,,,,,,2024-06,,,,,,web_verified
Qwen2-1.5B-Instruct,Qwen/Qwen2-1.5B-Instruct,,Alibaba Cloud,,,6.0,6.0,14.14,open,,,,,,,,,2024-06,,,,,,hf_createdat
Qwen2-57B-A14B,Qwen/Qwen2-57B-A14B,,Alibaba Cloud,,,6.0,6.0,25.03,open,,,,,,,,,2024-06,,,,,,hf_createdat
Qwen2-57B-A14B-Instruct,Qwen/Qwen2-57B-A14B-Instruct,,Alibaba Cloud,,,6.0,6.0,33.02,open,,,,,,,,,2024-06,,,,,,hf_createdat
Qwen2-72B,Qwen/Qwen2-72B,,Alibaba Cloud,,,12.0,12.0,56.42,open,,,,,,,,,2024-06,,,,,,web_verified
Qwen2-72B-Instruct,Qwen/Qwen2-72B-Instruct,,Alibaba Cloud,,,11.0,11.0,147.86,open,,,,,,,,,2024-05,,,,,,hf_createdat
Qwen2-7B,Qwen/Qwen2-7B,,Alibaba Cloud,,,12.0,12.0,46.16,open,,,,,,,,,2024-06,,,,,,web_verified
Qwen2-Math-72B-Instruct,Qwen/Qwen2-Math-72B-Instruct,,Alibaba Cloud,,,8.0,8.0,51.10,open,,,,,,,,,2024-08,,,,,,hf_createdat
Qwen2-Math-7B,Qwen/Qwen2-Math-7B,,Alibaba Cloud,,,6.0,6.0,12.02,open,,,,,,,,,2024-08,,,,,,hf_createdat
Qwen2-VL-72B-Instruct,Qwen/Qwen2-VL-72B-Instruct,,Alibaba Cloud,,,6.0,6.0,39.54,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,,Alibaba Cloud,,,6.0,6.0,26.49,open,,,,,,,,,2024-08,,,,,,hf_createdat
Qwen2-beta-14B,Qwen/Qwen2-beta-14B,,Alibaba Cloud,,,6.0,6.0,66.70,open,,,,,,,,,2024,,,,,,corroborated_year
Qwen2-beta-72B,Qwen/Qwen2-beta-72B,,Alibaba Cloud,,,6.0,6.0,72.91,open,,,,,,,,,2024,,,,,,corroborated_year
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,,Alibaba Cloud,,,6.0,6.0,6.55,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,,Alibaba Cloud,,,6.0,6.0,8.14,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,,Alibaba Cloud,,,6.0,6.0,13.85,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,,Alibaba Cloud,,,6.0,6.0,18.43,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-14B,Qwen/Qwen2.5-14B,,Alibaba Cloud,,,7.0,7.0,39.83,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,,Alibaba Cloud,,,8.0,8.0,42.20,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-14B-Instruct-1M,Qwen/Qwen2.5-14B-Instruct-1M,,Alibaba Cloud,,,6.0,6.0,41.56,open,,,,,,,,,2025-01,,,,,,hf_createdat
Qwen2.5-32B,Qwen/Qwen2.5-32B,,Alibaba Cloud,,,10.0,10.0,43.43,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen2.5-3B,Qwen/Qwen2.5-3B,,Alibaba Cloud,,,6.0,6.0,18.10,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,,Alibaba Cloud,,,6.0,6.0,27.16,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-7B,Qwen/Qwen2.5-7B,,Alibaba Cloud,,,7.0,7.0,22.40,open,,,,,,,,,2024-09,,,,,,web_verified
Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B-Instruct-1M,,Alibaba Cloud,,,6.0,6.0,32.76,open,,,,,,,,,2025-01,,,,,,hf_createdat
Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B,,Alibaba Cloud,,,6.0,6.0,24.83,open,,,,,,,,,2024-11,,,,,,hf_createdat
Qwen2.5-Coder-14B-Instruct,Qwen/Qwen2.5-Coder-14B-Instruct,,Alibaba Cloud,,,6.0,6.0,32.12,open,,,,,,,,,2024-11,,,,,,hf_createdat
Qwen2.5-Coder-32B,Qwen/Qwen2.5-Coder-32B,,Alibaba Cloud,,,7.0,7.0,36.25,open,,,,,,,,,2024-11,,,,,,hf_createdat
Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B,,Alibaba Cloud,,,7.0,7.0,23.69,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct,,Alibaba Cloud,,,6.0,6.0,28.05,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,,Alibaba Cloud,,,7.0,7.0,21.14,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-Math-72B-Instruct,Qwen/Qwen2.5-Math-72B-Instruct,,Alibaba Cloud,,,7.0,7.0,43.83,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-Math-7B,Qwen/Qwen2.5-Math-7B,,Alibaba Cloud,,,6.0,6.0,17.84,open,,,,,,,,,2024-09,,,,,,hf_createdat
Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,,Alibaba Cloud,,,7.0,7.0,30.60,open,,,,,,,,,2024-09,,,,,,hf_createdat
LLaMA-3-8B-SFR-Iterative-DPO-R,Salesforce/LLaMA-3-8B-SFR-Iterative-DPO-R,,salesforce,,,6.0,6.0,18.53,open,,,,,,,,,2024-05,,,,,,hf_createdat
codegen-16B-nl,Salesforce/codegen-16B-nl,,salesforce,,,6.0,6.0,42.59,open,,,,,,,,,2022-03,,,,,,sourced_evidence
codegen-6B-multi,Salesforce/codegen-6B-multi,,salesforce,,,7.0,7.0,31.17,open,,,,,,,,,2022-03,,,,,,sourced_evidence
codegen-6B-nl,Salesforce/codegen-6B-nl,,salesforce,,,6.0,6.0,40.00,open,,,,,,,,,2022-03,,,,,,sourced_evidence
xLAM-v0.1-r,Salesforce/xLAM-v0.1-r,,salesforce,,,6.0,6.0,69.88,open,,,,,,,,,2024-03,,,,,,hf_createdat
LLaMA-Pro-8B,TencentARC/LLaMA-Pro-8B,,tencentarc,,,12.0,12.0,30.24,open,,,,,,,,,2024-01,,,,,,hf_createdat
LLaMA-Pro-8B-Instruct,TencentARC/LLaMA-Pro-8B-Instruct,,tencentarc,,,12.0,12.0,36.67,open,,,,,,,,,2024-01,,,,,,hf_createdat
MetaMath-Mistral-Pro,TencentARC/MetaMath-Mistral-Pro,,tencentarc,,,6.0,6.0,12.52,open,,,,,,,,,2024-02,,,,,,hf_createdat
Mistral_Pro_8B_v0.1,TencentARC/Mistral_Pro_8B_v0.1,,tencentarc,,,12.0,12.0,37.63,open,,,,,,,,,2024-02,,,,,,hf_createdat
TinyLlama-1.1B-Chat-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v0.1,,tinyllama,,,6.0,6.0,3.96,open,,,,,,,,,2023-09,,,,,,hf_createdat
TinyLlama-1.1B-Chat-v0.5,TinyLlama/TinyLlama-1.1B-Chat-v0.5,,tinyllama,,,6.0,6.0,4.13,open,,,,,,,,,2023-11,,,,,,hf_createdat
TinyLlama-1.1B-Chat-v0.6,TinyLlama/TinyLlama-1.1B-Chat-v0.6,,tinyllama,,,12.0,12.0,19.62,open,,,,,,,,,2023-11,,,,,,hf_createdat
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,,tinyllama,,,12.0,12.0,20.05,open,,,,,,,,,2023-12,,,,,,hf_createdat
TinyLlama_v1.1,TinyLlama/TinyLlama_v1.1,,tinyllama,,,6.0,6.0,4.82,open,,,,,,,,,2024-03,,,,,,hf_createdat
WizardLM-13B-V1.0,WizardLMTeam/WizardLM-13B-V1.0,LLaMA,Microsoft,,,6.0,6.0,4.55,open,,,,LLaMA 13B,,,,,2023-04,,,,,,sourced_evidence
WizardLM-13B-V1.2,WizardLMTeam/WizardLM-13B-V1.2,LLaMA 2,Microsoft,,,7.0,7.0,166.44,open,,,,Llama-2-13B,,,,,2023-04,,,,,,sourced_evidence
WizardLM-70B-V1.0,WizardLMTeam/WizardLM-70B-V1.0,LLaMA 2,Microsoft,,,7.0,7.0,179.34,open,,,,Llama-2-70B,,,,,2023-04,,,,,,sourced_evidence
Dracarys-72B-Instruct,abacusai/Dracarys-72B-Instruct,Qwen,Abacus.AI,,,6.0,6.0,43.38,open,,,,Qwen2.5-72B,,,,,2024-08,,,,,,hf_createdat
Liberated-Qwen1.5-14B,abacusai/Liberated-Qwen1.5-14B,,abacusai,,,6.0,6.0,20.51,open,,,,,,,,,2023,,,,,,corroborated_year
Llama-3-Smaug-8B,abacusai/Llama-3-Smaug-8B,,abacusai,,,6.0,6.0,19.07,open,,,,,,,,,2024-04,,,,,,hf_createdat
Smaug-34B-v0.1,abacusai/Smaug-34B-v0.1,,abacusai,,,6.0,6.0,24.95,open,,,,,,,,,2024-01,,,,,,hf_createdat
Smaug-72B-v0.1,abacusai/Smaug-72B-v0.1,,abacusai,,,6.0,6.0,29.74,open,,,,,,,,,2024-02,,,,,,hf_createdat
Smaug-Llama-3-70B-Instruct-32K,abacusai/Smaug-Llama-3-70B-Instruct-32K,,abacusai,,,6.0,6.0,35.76,open,,,,,,,,,2024-06,,,,,,hf_createdat
Smaug-Mixtral-v0.1,abacusai/Smaug-Mixtral-v0.1,,abacusai,,,6.0,6.0,23.82,open,,,,,,,,,2024-02,,,,,,hf_createdat
Smaug-Qwen2-72B-Instruct,abacusai/Smaug-Qwen2-72B-Instruct,,abacusai,,,6.0,6.0,42.07,open,,,,,,,,,2024-06,,,,,,hf_createdat
bigstral-12b-32k,abacusai/bigstral-12b-32k,,abacusai,,,6.0,6.0,18.14,open,,,,,,,,,2024-03,,,,,,hf_createdat
bigyi-15b,abacusai/bigyi-15b,,abacusai,,,6.0,6.0,13.05,open,,,,,,,,,2024-03,,,,,,hf_createdat
Jamba-v0.1,ai21labs/Jamba-v0.1,,ai21labs,,,6.0,6.0,9.22,open,,,,,,,,,2024-03,,,,,,hf_createdat
Llama-3.1-Tulu-3-70B,allenai/Llama-3.1-Tulu-3-70B,,allenai,,,7.0,7.0,216.14,open,,,,,,,,,2024-11,,,,,,hf_createdat
Llama-3.1-Tulu-3-70B-DPO,allenai/Llama-3.1-Tulu-3-70B-DPO,,allenai,,,6.0,6.0,42.22,open,,,,,,,,,2024-11,,,,,,hf_createdat
Llama-3.1-Tulu-3-70B-SFT,allenai/Llama-3.1-Tulu-3-70B-SFT,,allenai,,,6.0,6.0,38.85,open,,,,,,,,,2024-11,,,,,,hf_createdat
Llama-3.1-Tulu-3-8B,allenai/Llama-3.1-Tulu-3-8B,,allenai,,,7.0,7.0,193.74,open,,,,,,,,,2024-11,,,,,,hf_createdat
Llama-3.1-Tulu-3-8B-DPO,allenai/Llama-3.1-Tulu-3-8B-DPO,,allenai,,,6.0,6.0,26.46,open,,,,,,,,,2024-11,,,,,,hf_createdat
Llama-3.1-Tulu-3-8B-RM,allenai/Llama-3.1-Tulu-3-8B-RM,,allenai,,,6.0,6.0,4.24,open,,,,,,,,,2024-11,,,,,,hf_createdat
Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-SFT,,allenai,,,6.0,6.0,22.60,open,,,,,,,,,2024-11,,,,,,hf_createdat
OLMo-1.7-7B-hf,allenai/OLMo-1.7-7B-hf,,allenai,,,6.0,6.0,3.80,open,,,,,,,,,2024-04,,,,,,web_cited
OLMo-1B-hf,allenai/OLMo-1B-hf,,allenai,,,6.0,6.0,6.63,open,,,,,,,,,2024-04,,,,,,hf_createdat
OLMo-2-1124-7B-Instruct,allenai/OLMo-2-1124-7B-Instruct,,allenai,,,7.0,7.0,18.74,open,,,,,,,,,2024-12,,,,,,hf_createdat
OLMo-7B-Instruct-hf,allenai/OLMo-7B-Instruct-hf,,allenai,,,6.0,6.0,10.85,open,,,,,,,,,2024-06,,,,,,hf_createdat
OLMo-7B-hf,allenai/OLMo-7B-hf,,allenai,,,6.0,6.0,6.86,open,,,,,,,,,2024-04,,,,,,hf_createdat
OLMoE-1B-7B-0125-Instruct,allenai/OLMoE-1B-7B-0125-Instruct,,allenai,,,6.0,6.0,17.51,open,,,,,,,,,2025-01,,,,,,hf_createdat
OLMoE-1B-7B-0924,allenai/OLMoE-1B-7B-0924,,allenai,,,6.0,6.0,7.27,open,,,,,,,,,2024-07,,,,,,hf_createdat
OLMoE-1B-7B-0924-Instruct,allenai/OLMoE-1B-7B-0924-Instruct,,allenai,,,6.0,6.0,13.70,open,,,,,,,,,2024-08,,,,,,hf_createdat
AMD-Llama-135m,amd/AMD-Llama-135m,,amd,,,6.0,6.0,4.76,open,,,,,,,,,2024-07,,,,,,hf_createdat
Llama-3.1-8B-MagPie-Ultra,argilla-warehouse/Llama-3.1-8B-MagPie-Ultra,,argilla-warehouse,,,6.0,6.0,19.85,open,,,,,,,,,2024-09,,,,,,hf_createdat
notus-7b-v1,argilla/notus-7b-v1,,argilla,,,6.0,6.0,18.47,open,,,,,,,,,2023-10,,,,,,sourced_evidence
notux-8x7b-v1,argilla/notux-8x7b-v1,,argilla,,,6.0,6.0,24.48,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Starling-LM-7B-alpha,berkeley-nest/Starling-LM-7B-alpha,,berkeley-nest,,,7.0,7.0,175.43,open,,,,,,,,,2023-06,,,,,,sourced_evidence
gpt_bigcode-santacoder,bigcode/gpt_bigcode-santacoder,,bigcode,,,6.0,6.0,28.49,open,,,,,,,,,2023-04,,,,,,hf_createdat
santacoder,bigcode/santacoder,,bigcode,,,6.0,6.0,29.51,open,,,,,,,,,2022-12,,,,,,hf_createdat
starcoder,bigcode/starcoder,,bigcode,,,8.0,8.0,34.47,open,,,,,,,,,2023,,,,,,corroborated_year
starcoder2-15b,bigcode/starcoder2-15b,,bigcode,,,14.0,14.0,36.16,open,,,,,,,,,2023-05,,,,,,sourced_evidence
starcoder2-3b,bigcode/starcoder2-3b,,bigcode,,,13.0,13.0,23.65,open,,,,,,,,,2023-05,,,,,,sourced_evidence
starcoder2-7b,bigcode/starcoder2-7b,,bigcode,,,13.0,13.0,26.31,open,,,,,,,,,2023-05,,,,,,sourced_evidence
starcoderbase,bigcode/starcoderbase,,bigcode,,,7.0,7.0,36.78,open,,,,,,,,,2023,,,,,,corroborated_year
starcoderbase-1b,bigcode/starcoderbase-1b,,bigcode,,,6.0,6.0,30.06,open,,,,,,,,,2023,,,,,,corroborated_year
starcoderbase-3b,bigcode/starcoderbase-3b,,bigcode,,,6.0,6.0,31.38,open,,,,,,,,,2023,,,,,,corroborated_year
starcoderbase-7b,bigcode/starcoderbase-7b,,bigcode,,,7.0,7.0,33.17,open,,,,,,,,,2023,,,,,,corroborated_year
starcoderplus,bigcode/starcoderplus,,bigcode,,,6.0,6.0,47.61,open,,,,,,,,,2023,,,,,,corroborated_year
tiny_starcoder_py,bigcode/tiny_starcoder_py,,bigcode,,,6.0,6.0,29.41,open,,,,,,,,,2023,,,,,,corroborated_year
bloom-1b1,bigscience/bloom-1b1,,bigscience,,,6.0,6.0,4.03,open,,,,,,,,,2022-07,,,,,,corroborated_month
bloom-1b7,bigscience/bloom-1b7,,bigscience,,,6.0,6.0,4.05,open,,,,,,,,,2022-07,,,,,,corroborated_month
bloom-3b,bigscience/bloom-3b,,bigscience,,,6.0,6.0,4.39,open,,,,,,,,,2022-07,,,,,,corroborated_month
bloom-560m,bigscience/bloom-560m,,bigscience,,,6.0,6.0,3.51,open,,,,,,,,,2022-07,,,,,,corroborated_month
bloom-7b1,bigscience/bloom-7b1,,bigscience,,,6.0,6.0,3.80,open,,,,,,,,,2022-07,,,,,,corroborated_month
Dolphin3.0-Llama3.1-8B,cognitivecomputations/Dolphin3.0-Llama3.1-8B,,cognitivecomputations,,,6.0,6.0,25.27,open,,,,,,,,,2024-01,,,,,,sourced_evidence
Dolphin3.0-Llama3.2-1B,cognitivecomputations/Dolphin3.0-Llama3.2-1B,,cognitivecomputations,,,6.0,6.0,11.14,open,,,,,,,,,2024-09,,,,,,sourced_evidence
Dolphin3.0-Qwen2.5-0.5B,cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,,cognitivecomputations,,,6.0,6.0,10.63,open,,,,,,,,,2024,,,,,,corroborated_year
Dolphin3.0-R1-Mistral-24B,cognitivecomputations/Dolphin3.0-R1-Mistral-24B,,cognitivecomputations,,,6.0,6.0,23.51,open,,,,,,,,,2023,,,,,,corroborated_year
dolphin-2.9-llama3-8b,cognitivecomputations/dolphin-2.9-llama3-8b,,cognitivecomputations,,,6.0,6.0,18.42,open,,,,,,,,,2023-09,,,,,,sourced_evidence
dolphin-2.9.1-llama-3-70b,cognitivecomputations/dolphin-2.9.1-llama-3-70b,,cognitivecomputations,,,6.0,6.0,25.53,open,,,,,,,,,2023-09,,,,,,sourced_evidence
dolphin-2.9.1-yi-1.5-34b,cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,,cognitivecomputations,,,6.0,6.0,28.31,open,,,,,,,,,2023,,,,,,corroborated_year
dolphin-2.9.1-yi-1.5-9b,cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,,cognitivecomputations,,,6.0,6.0,25.64,open,,,,,,,,,2023,,,,,,corroborated_year
dolphin-2.9.2-Phi-3-Medium,cognitivecomputations/dolphin-2.9.2-Phi-3-Medium,,cognitivecomputations,,,6.0,6.0,28.61,open,,,,,,,,,2024,,,,,,corroborated_year
dolphin-2.9.2-Phi-3-Medium-abliterated,cognitivecomputations/dolphin-2.9.2-Phi-3-Medium-abliterated,,cognitivecomputations,,,6.0,6.0,25.59,open,,,,,,,,,2024,,,,,,corroborated_year
dolphin-2.9.2-qwen2-72b,cognitivecomputations/dolphin-2.9.2-qwen2-72b,,cognitivecomputations,,,6.0,6.0,36.98,open,,,,,,,,,2024,,,,,,corroborated_year
dolphin-2.9.2-qwen2-7b,cognitivecomputations/dolphin-2.9.2-qwen2-7b,,cognitivecomputations,,,6.0,6.0,21.27,open,,,,,,,,,2024,,,,,,corroborated_year
dolphin-2.9.3-Yi-1.5-34B-32k,cognitivecomputations/dolphin-2.9.3-Yi-1.5-34B-32k,,cognitivecomputations,,,6.0,6.0,27.10,open,,,,,,,,,2023,,,,,,corroborated_year
dolphin-2.9.3-mistral-7B-32k,cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,,cognitivecomputations,,,6.0,6.0,19.35,open,,,,,,,,,2023,,,,,,corroborated_year
dolphin-2.9.3-mistral-nemo-12b,cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,,cognitivecomputations,,,6.0,6.0,24.97,open,,,,,,,,,2023,,,,,,corroborated_year
dolphin-2.9.4-gemma2-2b,cognitivecomputations/dolphin-2.9.4-gemma2-2b,,cognitivecomputations,,,6.0,6.0,9.84,open,,,,,,,,,2024-06,,,,,,corroborated_month
dolphin-2.9.4-llama3.1-8b,cognitivecomputations/dolphin-2.9.4-llama3.1-8b,,cognitivecomputations,,,6.0,6.0,7.13,open,,,,,,,,,2023-12,,,,,,sourced_evidence
dbrx-base,databricks/dbrx-base,,databricks,,,12.0,12.0,44.13,open,,,,,,,,,2024-03,,,,,,web_verified
dolly-v1-6b,databricks/dolly-v1-6b,,databricks,,,6.0,6.0,6.98,open,,,,,,,,,2023-03,,,,,,single_haiku
dolly-v2-12b,databricks/dolly-v2-12b,,databricks,,,13.0,13.0,85.54,open,,,,,,,,,2023-04,,,,,,single_haiku
dolly-v2-3b,databricks/dolly-v2-3b,,databricks,,,11.0,11.0,15.51,open,,,,,,,,,2023-04,,,,,,single_haiku
dolly-v2-7b,databricks/dolly-v2-7b,,databricks,,,12.0,12.0,22.44,open,,,,,,,,,2023-04,,,,,,single_haiku
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,,deepseek-ai,,,6.0,6.0,10.35,open,,,,,,,,,2025-01,,,,,,hf_createdat
DeepSeek-R1-Distill-Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,deepseek-ai,,,6.0,6.0,38.22,open,,,,,,,,,2025-01,,,,,,hf_createdat
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,,deepseek-ai,,,8.0,8.0,26.71,open,,,,,,,,,2025-01,,,,,,hf_createdat
DeepSeek-R1-Distill-Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,deepseek-ai,,,7.0,7.0,12.94,open,,,,,,,,,2025-01,,,,,,hf_createdat
